countryLabel,geometryCountry,continentLabel,geometryContinent,musicFestivalLabel
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Dour Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2608534
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2611586
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2614455
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2615361
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2736655
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2741336
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2741515
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2637939
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2648162
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2660573
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2742401
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2756422
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2726472
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Golden River City Jazz Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),0110
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Ars Musica
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2873093
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2901933
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2915968
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2892848
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2926185
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Brussels Summer Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2963648
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2969571
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Axion Beach Rock
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Django à Liberchies
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Durbuy Rock Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3069784
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3058403
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Festival international Albert-Roussel
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3077824
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3071563
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3133923
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3092915
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3163316
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3163356
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3190638
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3197652
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3206264
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3212233
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3235788
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Metal Mean Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3353165
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3408898
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3437886
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Trolls & Légendes
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3532804
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q3555825
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Ieperfest
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Sfinks Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q4018685
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q4326857
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q4624436
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q4643775
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q4886959
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q5027525
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q5093578
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Summer Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q11004093
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q13576301
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q14278087
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q13428483
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q14320881
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q14415888
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q13500041
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q14526954
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q14942177
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q14851274
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q15837808
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q15881363
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q15910475
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q16034418
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q16034411
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q16034449
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q16034458
